# Created by Octave 5.1.0, Fri Apr 17 15:00:52 2020 GMT <unknown@LAPTOP-98VUH47R>
# name: errores
# type: matrix
# rows: 9
# columns: 2
 1 75.466666666666669
 2 62.116666666666667
 5 30.933333333333334
 10 8.4500000000000011
 20 3.25
 50 2.4666666666666668
 100 2.5166666666666666
 200 2.6333333333333333
 500 2.6499999999999999


